ID,species,sex,body_mass,claw_mass_before_papain,claw_mass_after_papain,muscle_mass,inert_mass,proportion_muscle,proportion_inert,proportion_weapon,total_mass,species_sex,log_total_mass,log_claw_mass,log10_total_mass,log10_claw_mass,percent_change,
AHF-1001,Alpheus heterochaelis,f,0.115832,0.040078,0.027018,0.01306,0.027018,0.325864564,0.233251606,0.257058559,0.15591,AHF,-0.807126028,-1.397093959,-0.807126028,-1.397093959,-65.3998895,
AHF-1002,Alpheus heterochaelis,f,0.186705,0.056419,0.037007,0.019412,0.037007,0.344068488,0.198211082,0.232058538,0.243124,AHF,-0.614172168,-1.248574616,-0.614172168,-1.248574616,-69.78174125,
AHF-1003,Alpheus heterochaelis,f,0.243181,0.07689,0.0557234,0.0211666,0.0557234,0.275284172,0.229143724,0.240227949,0.320071,AHF,-0.494753673,-1.114130139,-0.494753673,-1.114130139,-68.38157586,
AHF-1004,Alpheus heterochaelis,f,0.084959,0.032345,0.020677,0.011668,0.020677,0.360735817,0.243376217,0.275736548,0.117304,AHF,-0.930687178,-1.490192845,-0.930687178,-1.490192845,-61.92869502,
AHF-1005,Alpheus heterochaelis,f,0.275611,0.07093,0.051784,0.019146,0.051784,0.269928098,0.187888002,0.204679966,0.346541,AHF,-0.460245376,-1.14917004,-0.460245376,-1.14917004,-74.26445243,
AHF-1006,Alpheus heterochaelis,f,0.244816,0.070123,0.051593,0.01853,0.051593,0.264249961,0.210741945,0.222655816,0.314939,AHF,-0.501773556,-1.154139512,-0.501773556,-1.154139512,-71.35685576,
AHF-1008,Alpheus heterochaelis,f,0.064155,0.020389,0.011914,0.008475,0.011914,0.41566531,0.185706492,0.241164364,0.084544,AHF,-1.072917208,-1.690604074,-1.072917208,-1.690604074,-68.21915673,
AHF-1009,Alpheus heterochaelis,f,0.066115,0.021837,0.0128214,0.0090156,0.0128214,0.412858909,0.193925735,0.248283154,0.087952,AHF,-1.05575428,-1.660807026,-1.05575428,-1.660807026,-66.97118657,
AHF-1010,Alpheus heterochaelis,f,0.210721,0.058853,0.038777,0.020076,0.038777,0.341121098,0.184020577,0.218318532,0.269574,AHF,-0.569321997,-1.230231394,-0.569321997,-1.230231394,-72.07065266,
AHF-1011,Alpheus heterochaelis,f,0.194621,0.043076,0.025016,0.01806,0.025016,0.419258984,0.128537003,0.181222312,0.237697,AHF,-0.6239763,-1.365764632,-0.6239763,-1.365764632,-77.86672558,
AHF-1012,Alpheus heterochaelis,f,0.404013,0.072658,0.052435,0.020223,0.052435,0.278331361,0.129785428,0.152427985,0.476671,AHF,-0.321781269,-1.138716561,-0.321781269,-1.138716561,-82.01592523,
